"X1" "X2" "X3"
34.6152 24 0
34.61525 24 0
34.6153 24 0
34.61535 24 0
34.6154 24 0
34.61545 24 0
34.6155 24 0
34.61555 24 0
34.6156 24 0
34.61565 24 0
34.6157 24 0
34.61575 24 0
34.6158 24 0
34.61585 24 0
34.6159 24 0
34.61595 24 0
34.616 24 0
34.61605 24 0
34.6161 24 0
34.61615 24 0
34.6162 24 0
34.61625 24 0
34.6163 24 0
34.61635 24 0
34.6164 24 0
34.61645 24 0
34.6165 24 0
34.61655 24 0
34.6166 24 0
34.61665 24 0
34.6167 24 0
34.61675 24 0
34.6168 24 0
34.61685 24 0
34.6169 24 0
34.61695 24 0
34.617 24 0
34.61705 24 0
34.6171 24 0
34.61715 24 0
34.6172 24 0
34.61725 24 0
34.6173 24 0
34.61735 24 0
34.6174 24 0
34.61745 24 0
34.6175 24 0
34.61755 24 0
34.6176 24 0
34.61765 24 0
34.6177 24 0
34.61775 24 0
34.6178 24 0
34.61785 24 0
34.6179 24 0
34.61795 24 0
34.618 24 0
34.61805 24 0
34.6181 24 0
34.61815 24 0
34.6182 24 0
34.61825 24 0
34.6183 24 0
34.61835 24 0
34.6184 24 0
34.61845 24 0
34.6185 24 0
34.61855 24 0
34.6186 24 0
34.61865 24 0
34.6187 24 0
34.61875 24 0
34.6188 24 0
34.61885 24 0
34.6189 24 0
34.61895 24 0
34.619 24 0
34.61905 24 0
34.6191 24 0
34.61915 24 0
34.6192 24 0
34.61925 24 0
34.6193 24 0
34.61935 24 0
34.6194 24 0
34.61945 24 0
34.6195 24 0
34.61955 24 0
34.6196 24 0
34.61965 24 0
34.6197 24 0
34.61975 24 0
34.6198 24 0
34.61985 24 0
34.6199 24 0
34.61995 24 0
34.62 24 0
34.62005 24 0
34.6201 24 0
34.62015 24 0
34.6202 24 0
34.62025 24 0
34.6203 24 0
34.62035 24 0
34.6204 24 0
34.62045 24 0
34.6205 24 0
34.62055 24 0
34.6206 24 0
34.62065 24 0
34.6207 24 0
34.62075 24 0
34.6208 24 0
34.62085 24 0
34.6209 24 0
34.62095 24 0
34.621 24 0
34.62105 24 0
34.6211 24 0
34.62115 24 0
34.6212 24 0
34.62125 24 0
34.6213 24 0
34.62135 24 0
34.6214 24 0
34.62145 24 0
34.6215 24 0
34.62155 24 0
34.6216 24 0
34.62165 24 0
34.6217 24 0
34.62175 24 0
34.6218 24 0
34.62185 24 0
34.6219 24 0
34.62195 24 0
34.622 24 0
34.62205 24 0
34.6221 24 0
34.62215 24 0
34.6222 24 0
34.62225 24 0
34.6223 24 0
34.62235 24 0
34.6224 24 0
34.62245 24 0
34.6225 24 0
34.62255 24 0
34.6226 24 0
34.62265 24 0
34.6227 24 0
34.62275 24 0
34.6228 24 0
34.62285 24 0
34.6229 24 0
34.62295 24 0
34.623 24 0
34.62305 24 0
34.6231 24 0
34.62315 24 0
34.6232 24 0
34.62325 24 0
34.6233 24 0
34.62335 24 0
34.6234 24 0
34.62345 24 0
34.6235 24 0
34.62355 24 0
34.6236 24 0
34.62365 24 0
34.6237 24 0
34.62375 24 0
34.6238 24 0
34.62385 24 0
34.6239 24 0
34.62395 24 0
34.624 24 0
34.62405 24 0
34.6241 24 0
34.62415 24 0
34.6242 24 0
34.62425 24 0
34.6243 24 0
34.62435 24 0
34.6244 24 0
34.62445 24 0
34.6245 24 0
34.62455 24 0
34.6246 24 0
34.62465 24 0
34.6247 24 0
34.62475 24 0
34.6248 24 0
34.62485 24 0
34.6249 24 0
34.62495 24 0
34.625 24 0
34.62505 24 0
34.6251 24 0
34.62515 24 0
34.6252 24 0
34.62525 24 0
34.6253 24 0
34.62535 24 0
34.6254 24 0
34.62545 24 0
34.6255 24 0
34.62555 24 0
34.6256 24 0
34.62565 24 0
34.6257 24 0
34.62575 24 0
34.6258 24 0
34.62585 24 0
34.6259 24 0
34.62595 24 0
34.626 24 0
34.62605 24 0
34.6261 24 0
34.62615 24 0
34.6262 24 0
34.62625 24 0
34.6263 24 0
34.62635 24 0
34.6264 24 0
34.62645 24 0
34.6265 24 0
34.62655 24 0
34.6266 24 0
34.62665 24 0
34.6267 24 0
34.62675 24 0
34.6268 24 0
34.62685 24 0
34.6269 24 0
34.62695 24 0
34.627 24 0
34.62705 24 0
34.6271 24 0
34.62715 24 0
34.6272 24 0
34.62725 24 0
34.6273 24 0
34.62735 24 0
34.6274 24 0
34.62745 24 0
34.6275 24 0
34.62755 24 0
34.6276 24 0
34.62765 24 0
34.6277 24 0
34.62775 24 0
34.6278 24 0
34.62785 24 0
34.6279 24 0
34.62795 24 0
34.628 24 0
34.62805 24 0
34.6281 24 0
34.62815 24 0
34.6282 24 0
34.62825 24 0
34.6283 24 0
34.62835 24 0
34.6284 24 0
34.62845 24 0
34.6285 24 0
34.62855 24 0
34.6286 24 0
34.62865 24 0
34.6287 24 0
34.62875 24 0
34.6288 24 0
34.62885 24 0
34.6289 24 0
34.62895 24 0
34.629 24 0
34.62905 24 0
34.6291 24 0
34.62915 24 0
34.6292 24 0
34.62925 24 0
34.6293 24 0
34.62935 24 0
34.6294 24 0
34.62945 24 0
34.6295 24 0
34.62955 24 0
34.6296 24 0
34.62965 24 0
34.6297 24 0
34.62975 24 0
34.6298 24 0
34.62985 24 0
34.6299 24 0
34.62995 24 0
34.63 24 0
34.63005 24 0
34.6301 24 0
34.63015 24 0
34.6302 24 0
34.63025 24 0
34.6303 24 0
34.63035 24 0
34.6304 24 0
34.63045 24 0
34.6305 24 0
34.63055 24 0
34.6306 24 0
34.63065 24 0
34.6307 24 0
34.63075 24 0
34.6308 24 0
34.63085 24 0
34.6309 24 0
34.63095 24 0
34.631 24 0
34.63105 24 0
34.6311 24 0
34.63115 24 0
34.6312 24 0
34.63125 24 0
34.6313 24 0
34.63135 24 0
34.6314 24 0
34.63145 24 0
34.6315 24 0
34.63155 24 0
34.6316 24 0
34.63165 24 0
34.6317 24 0
34.63175 24 0
34.6318 24 0
34.63185 24 0
34.6319 24 0
34.63195 24 0
34.632 24 0
34.63205 24 0
34.6321 24 0
34.63215 24 0
34.6322 24 0
34.63225 24 0
34.6323 24 0
34.63235 24 0
34.6324 24 0
34.63245 24 0
34.6325 24 0
34.63255 24 0
34.6326 24 0
34.63265 24 0
34.6327 24 0
34.63275 24 0
34.6328 24 0
34.63285 24 0
34.6329 24 0
34.63295 24 0
34.633 24 0
34.63305 24 0
34.6331 24 0
34.63315 24 0
34.6332 24 0
34.63325 24 0
